Major, Early Career Pay, Mid-Career Pay, High Meaning
Retail & Consumer Science,51800.0,82800.0,32%
Literature,46800.0,82800.0,47%
Bachelor in Science Nursing,64000.0,82700.0,81%
History & Political Science,50600.0,82700.0,50%
Museum Studies,38900.0,82700.0,50%
Computer Information Management,49400.0,82600.0,-
Dental Hygiene,72700.0,82600.0,80%
Law,54300.0,82600.0,53%
Network Technology,59800.0,82600.0,57%
Media Studies,50700.0,82400.0,38%
Environmental Geography,50200.0,82300.0,52%
Law Enforcement,46700.0,82200.0,60%
Nuclear Medicine,60300.0,81900.0,81%
Bachelor of Science in Nursing,63800.0,81900.0,83%
Computer Animation,46800.0,81800.0,36%
Landscape Architecture,51500.0,81800.0,65%
Publishing,46300.0,81800.0,39%
Interior Architecture,47600.0,81500.0,45%
Diagnostic Medical Sonography,64300.0,81400.0,86%
Environmental & Natural Resource Economics,52400.0,81400.0,65%
Public Relations (PR),45600.0,81400.0,42%
Workforce Education & Development,59900.0,81400.0,80%
American History (United States),50900.0,81300.0,52%
Drama,47400.0,81100.0,47%
Management (MGT),47000.0,81000.0,62%
Merchandising Management,46800.0,80900.0,38%
Environmental Biology,45000.0,80800.0,70%
Accounting & Business,52400.0,80700.0,48%
Automotive Technology & Service Management,48800.0,80500.0,32%
Speech Communication,46700.0,80500.0,54%
Allied Health,44800.0,80400.0,78%
Agricultural Systems Technology,60500.0,80300.0,-
Emergency Management,50900.0,80300.0,80%
Network Administration,48700.0,80300.0,56%
Communication Management,46000.0,80200.0,38%
Historic Preservation,43400.0,80000.0,-
Broadcast Journalism,42900.0,79900.0,50%
Broadcast & Cinematic Arts,42800.0,79900.0,43%
Automotive Technology,48100.0,79800.0,47%
Business Management & Administration,51400.0,79800.0,53%
Agricultural Business,52700.0,79700.0,51%
Technology Management,56400.0,79700.0,47%
Global Studies,51200.0,79600.0,46%
Professional Studies,42800.0,79600.0,62%
Interpersonal Communications,45000.0,79500.0,53%
Forestry,45900.0,79400.0,67%
Homeland Security,49200.0,79400.0,72%
Ancient History,46000.0,79300.0,-
Botany,42600.0,79300.0,73%
Geography,49700.0,79300.0,52%
Computer Aided Design (CAD),48700.0,79200.0,-
Nutrition Science,49500.0,79200.0,70%
Acting,44200.0,79100.0,50%
Public Management,50200.0,79100.0,66%
Nuclear Medicine Technology,61700.0,79000.0,82%
Apparel & Textile Manufacture,48300.0,78900.0,37%
English Language & Literature,46400.0,78900.0,44%
Urban Studies,51500.0,78900.0,57%
Mass Communication,44800.0,78800.0,44%
Forestry Management,48600.0,78700.0,71%
Radio/Television & Film Production,45700.0,78700.0,39%
Hospital Management,53200.0,78600.0,45%
Human Resources Management (HRM),47900.0,78500.0,55%
Marine Science,46100.0,78400.0,64%
American Sign Language Interpreting,43100.0,78300.0,87%
English & History,45700.0,78300.0,49%
English Language,44600.0,78300.0,45%
Cytotechnology,61900.0,78200.0,89%
Geosciences,48700.0,78200.0,62%
Hospital Administration,51200.0,78200.0,57%
Film Production,44600.0,78100.0,33%
Marine Biology,43300.0,78100.0,66%
Zoology,42100.0,77900.0,67%
Communication Design,51700.0,77800.0,34%
Leadership,47200.0,77500.0,57%
Music Technology,44800.0,77500.0,39%
Musicology,40000.0,77500.0,-
Technical Writing,53300.0,77500.0,42%
Agricultural Communication,44600.0,77400.0,52%
Logistics Management,56300.0,77400.0,49%
German Language & Literature,49400.0,77300.0,47%
Administration,44600.0,77100.0,58%
Apparel Merchandising,47600.0,77100.0,35%
Computer Aided Drafting & Design (CADD),49100.0,77100.0,52%
Organizational Leadership & Supervision,49600.0,77100.0,51%
Printing Technology,46200.0,77100.0,-
